player_name,real_name,nationality,team,player_status,link,link2,link3,link3,link4
Altruli,Alix Trublet de Nermont,South Africa,Rascals,Active,{"twitch_link":"https://www.twitch.tv/Altruli"\,twitter_link:"https://twitter.com/Altruli777"\,facebook_link:"None"\,youtube_link:"None"\,esl_profile_link:"None"}
Amaazz,Nicolas Sageot,France,Totem Esports,Active,{"twitch_link":"https://www.twitch.tv/amaazz"\,twitter_link:"https://twitter.com/Amaazz_"\,facebook_link:"None"\,youtube_link:"None"\,esl_profile_link:"Http://play.eslgaming.com/player/13339975"}
Anbu,Nathan Truong,United States,BearClaw Gaming,Active,{"twitch_link":"https://www.twitch.tv/Nate"\,twitter_link:"https://twitter.com/AnbuBoy_"\,facebook_link:"None"\,youtube_link:"http://www.youtube.com/channel/UCssvPUd9BRXcyjgCMxlYcTA"\,esl_profile_link:"None"}
AndreStrong,Andrea Russo,Italy,BearClaw Gaming,Active,{"twitch_link":"https://www.twitch.tv/andrestrongtv"\,twitter_link:"https://twitter.com/andrestrong_tv"\,facebook_link:"None"\,youtube_link:"None"\,esl_profile_link:"None"}
Android Dream,Noah Martinez,United States,BearClaw Gaming,Retired,{"twitch_link":"https://www.twitch.tv/androiddream"\,twitter_link:"https://twitter.com/TheAndroidDream"\,facebook_link:"None"\,youtube_link:"None"\,esl_profile_link:"None"}
AndyJax,Alaa Elmeleh,Italy,Outplayed,Active,{"twitch_link":"https://www.twitch.tv/andyjax_off"\,twitter_link:"https://twitter.com/AndyJax3"\,facebook_link:"None"\,youtube_link:"None"\,esl_profile_link:"None"}
Anemone,Terasaki Nagi,Japan,Donuts Unsold Stuff Gaming,Active,{"twitch_link":"https://www.twitch.tv/anemone_fps"\,twitter_link:"https://twitter.com/Anernone_"\,facebook_link:"None"\,youtube_link:"http://www.youtube.com/channel/UCxl70l-7TSjelWvdkAu3WcA"\,esl_profile_link:"None"}
Anorak,Ufuk Kenan Taflan,Turkey,Donuts Unsold Stuff Gaming,Active,{"twitch_link":"https://www.twitch.tv/anorakfps"\,twitter_link:"None"\,facebook_link:"None"\,youtube_link:"None"\,esl_profile_link:"None"}
Anrchxy,Toby Wells,United Kingdom,Lazarus,Retired,{"twitch_link":"https://www.twitch.tv/anrchxy"\,twitter_link:"https://twitter.com/anrchxy"\,facebook_link:"None"\,youtube_link:"None"\,esl_profile_link:"None"}
Ansvar,Emil Nachtweij,Sweden,Lazarus,Active,{"twitch_link":"https://www.twitch.tv/AAnsvar"\,twitter_link:"https://twitter.com/AAnsvar"\,facebook_link:"None"\,youtube_link:"None"\,esl_profile_link:"None"}
Antzii,Anthony Walker,United States,Lazarus,Active,{"twitch_link":"https://www.twitch.tv/antzii_"\,twitter_link:"https://twitter.com/antzii_"\,facebook_link:"None"\,youtube_link:"None"\,esl_profile_link:"None"}
Anyxii,Osama,Saudi Arabia,Lazarus,Active,{"twitch_link":"https://www.twitch.tv/anyxii"\,twitter_link:"https://twitter.com/iAnyxii"\,facebook_link:"None"\,youtube_link:"http://www.youtube.com/c/Anyxii"\,esl_profile_link:"None"}
Aono,,China,MDY,Active,{"twitch_link":"None"\,twitter_link:"None"\,facebook_link:"None"\,youtube_link:"None"\,esl_profile_link:"None"}
apexSQL,Patimakron Mechai,Thailand,Made in Thailand,Retired,{"twitch_link":"https://www.twitch.tv/apexSQL"\,twitter_link:"https://twitter.com/apexsql_"\,facebook_link:"http://facebook.com/genoapexsql"\,youtube_link:"None"\,esl_profile_link:"Http://play.eslgaming.com/player/13347781"}
Appraiser,Thanakorn Ruckapunmaetree,Thailand,Made in Thailand,Active,{"twitch_link":"https://www.twitch.tv/appraiserz"\,twitter_link:"None"\,facebook_link:"http://facebook.com/fightyer"\,youtube_link:"None"\,esl_profile_link:"None"}
apriaN,Helmy Dwi Apriandie,Indonesia,Made in Thailand,Retired,{"twitch_link":"https://www.twitch.tv/aprianaughty"\,twitter_link:"https://twitter.com/apriaN_APEX"\,facebook_link:"http://facebook.com/apriangod"\,youtube_link:"None"\,esl_profile_link:"None"}
Apryze,Anthony Andrade,United States,Complexity Gaming,Active,{"twitch_link":"https://www.twitch.tv/apryze"\,twitter_link:"https://twitter.com/Apryze_"\,facebook_link:"None"\,youtube_link:"http://www.youtube.com/channel/UCrNoioUUETYNdVfzOKmpSeA"\,esl_profile_link:"None"}
Archerzgold,Henrique Muniz,Brazil,Complexity Gaming,Active,{"twitch_link":"https://www.twitch.tv/archerzgoold"\,twitter_link:"https://twitter.com/archerzgold"\,facebook_link:"None"\,youtube_link:"None"\,esl_profile_link:"None"}
ArMzAdOg,Manasak  Pholprasarn,Thailand,Complexity Gaming,Retired,{"twitch_link":"https://www.twitch.tv/armzadog"\,twitter_link:"None"\,facebook_link:"None"\,youtube_link:"None"\,esl_profile_link:"None"}
